Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-05-28 17:42:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7465819881418956801,"I've been refinishing furniture lately. I picked up a piece at a garage sale and needed to strip the old varnish before I could do anything with it.""
""""
""I tried six different approaches. Scrapers, heat guns, chemical strippers of varying toxicity. Some worked a little. Most didn't. I spent way more time on this than I expected.""
""""
""When I finally found the right method, it worked almost immediately with barely any effort.""
""""
""That's the part that frustrated me. Not the struggle, the fact that the answer felt so obvious once I had it. Like I should have known. Looking back, the signs were there. I just didn't see them until I did.""
""""
""IT people know this feeling.""
""""
""The source of an outage is a mystery right up until the moment it isn't. The misconfiguration looks invisible until someone spots it, and then you can't unsee it. You've been staring at the same screen for an hour and a colleague glances over and finds it in thirty seconds.""
""""
""It's not a knowledge problem. It's a perspective problem. Sometimes you're too close to it, or too deep in one approach, to see what's actually in front of you.""
""""
""I don't have a clean answer for how to fix that. But I'm curious if you do.""
""""
""How do you break out of the tunnel when you're deep in a problem you can't solve?","","",MEMBER_NETWORK
2026-05-26 15:10:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7465056788124573697,"Here's a pattern I've seen play out more than once.""
""""
""An Architect designs something: a network component, an application structure, a process. It gets handed to Engineers to implement. Then Operations picks it up and supports it day to day.""
""""
""And that works fine. Until something changes.""
""""
""Maybe a problem surfaces during implementation. Maybe a new solution comes in and the old one has to adapt. Either way, something in the system is different now than what the original documentation described.""
""""
""So who updates the docs?""
""""
""The quick answer is everyone. Which in practice means no one.""
""""
""The change gets made. People get busy. The documentation sits there, a record of how things used to work. The next person who needs it doesn't know that yet.""
""""
""It's not that people don't care. It's just what you're currently working on always feels more important than updating something you're not actively using. So it gets assumed. Someone else will get to it. They don't.""
""""
""What I've started doing with my teams is getting ahead of it. Who owns this application? This process? What does that ownership actually mean day to day?""
""""
""Put a name next to it. One name. Not a team, not a role. A person.""
""""
""Assumed ownership isn't ownership. It's just a gap waiting to be found.""
""""
""What do you do to keep ownership from falling through the cracks?","","",MEMBER_NETWORK
2026-05-21 16:36:52,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7463266576046395392,"Re-posting for visibility. I worked with Vamshi at HDR and was always amazed at his troubleshooting and documentation skills. He is an amazing Network Engineer. If you're looking for a Network Engineer, Vamshi's the one.","","",MEMBER_NETWORK
2026-05-20 19:15:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7462944176897167360,"I built two pieces of furniture around the same time. One for me, one for my daughter.""
""""
""The one for me turned out well. There's a joint I wasn't completely happy with but I let it go. I look at it sometimes and think it could've been better. Good enough though. It was just for me.""
""""
""The one for my daughter was different. I double checked every cut. Made sure nothing shifted during the glue up. Sanded everything smooth. Watched the finish dry. Fixed anything that didn't look right before moving on.""
""""
""Same tools. Same shop. Very different standard.""
""""
""I didn't make a conscious decision to care more about one than the other. It just happened. Knowing she'd have it in her own home someday, that she'd use it, that it came from me - that changed how I worked.""
""""
""I think about that in IT too. It's easy to let ""good enough"" become the default when you're not thinking about the person on the other end. The user who can't do their job because the system is slow. The team member who inherited a process nobody documented properly. The customer who just wants the thing to work.""
""""
""Knowing who something is for has a way of raising your standard without you even having to think about it.""
""""
""Who are you building for right now?","","",MEMBER_NETWORK
2026-05-16 18:48:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7461487698222993408,Sharing for visibility. I had the honor of working with Paresh at HDR. He is incredibly smart and driven. I highly encourage anyone that is looking to hire a talented Network Engineer to take some time to talk to him. You will be blown away!,"","",MEMBER_NETWORK
2026-05-16 01:00:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7461219052141699072,"We are hiring a Network Engineer at Creighton University.""
""""
""We are growing our team and building out capabilities around some genuinely interesting technology. If you want to work on ACI, ISE, Infoblox, and Palo Alto as a core part of your day job, this is worth a look.""
""""
""You will work on enterprise-grade infrastructure and be expected to own your work.""
""""
""Omaha-based. Good people. A university that actually cares about its staff.""
""""
""If that sounds like a fit, apply below. If you know someone who would be great at this, tag them.","","",MEMBER_NETWORK
2026-05-14 19:05:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7460767239395328000,"A friend told me recently about a school project his daughter had worked on. She had to describe what her parents did for work.""
""""
""She wrote that her dad works with computers. And clowns. But he doesn’t work for the circus.""
""""
""I laughed for about two minutes straight.""
""""
""He probably said something offhand at dinner one night about a frustrating coworker. Maybe called them a clown. Didn’t think twice about it. He was just venting.""
""""
""But his daughter heard it, filed it away, and it became part of her understanding of what he does for a living.""
""""
""We do this at work too. The offhand comment in the hallway. The joke in a meeting that wasn’t really a joke. The frustrated remark you made to one person that made its way to three others by the end of the day.""
""""
""We think we’re just talking. Other people think we’re telling them something.""
""""
""I’ve said things I thought were throwaway observations that turned out to matter a lot to the person who heard them. In both directions - things that landed better than I expected and things I wish I could take back.""
""""
""The words you say casually are still words. People hear them, remember them, and sometimes repeat them to their eighth grade class.""
""""
""What’s the most unintentionally revealing thing you’ve ever said at work?","","",MEMBER_NETWORK
2026-05-13 17:44:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7460384502104891393,"A while back I decided to refinish some furniture. I’d never done it before. I spent more time researching the right way to do it than I did actually doing it.""
""""
""What stripper should I use? What grit sandpaper? What finish? In what order? What if I chose wrong and ruined it?""
""""
""I was completely paralyzed.""
""""
""Eventually I had to put the YouTube videos down and pick up the tools. So I did. And yes, I got partway through and had to stop, strip everything back down, and start over. The end result didn’t look anything like what I had pictured when I started.""
""""
""It sold 1 day after I listed it. ""
""""
""Here’s what I figured out: I was treating “right” like it was a fixed point I could find if I just researched long enough. It isn’t. ""
""Especially when you’re doing something for the first time. Right is something you work your way toward, not something you find before you start.""
""""
""The piece taught me more than any video did. The restart taught me even more.""
""""
""In IT work there’s always a reason to wait until you know more. More requirements, more testing, more planning. Sometimes that’s legitimate. Sometimes it’s just the fear of an imperfect result dressed up as due diligence.""
""""
""Progress usually looks like a restart somewhere in the middle.","","",MEMBER_NETWORK
2026-05-10 14:06:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7459242353854386176,"I had someone on my team whose job was managing WAN circuits. Ordering them, tracking them, making sure the right capacity was in the right place. That was her lane, and she was good at it.""
""""
""A ticket came in one day about a VPN client issue that had stumped everyone who looked at it. Not a WAN problem. Not her area. She wasn’t assigned to it.""
""""
""She overheard people talking about it, looked into it on her own, and figured it out in about ten minutes.""
""""
""I remember thinking about how that almost didn’t happen. Nothing in her role suggested she’d have the answer. If she had stayed inside the lines of what her job description said she was responsible for, that ticket would have stayed open a lot longer.""
""""
""We do this constantly with the people around us. We see the role and stop looking at the person. The title becomes a ceiling on what we think someone is capable of contributing.""
""""
""The most capable teams I’ve been part of weren’t the ones with the best org charts. They were the ones where people were given room to bring more than their job description to the table.""
""""
""You probably have someone like that right now. The question is whether you’re giving them a chance to show it.","","",MEMBER_NETWORK
2026-05-06 11:25:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7457752300942446593,"There are two ways to approach a cut in the shop.""
""""
""The first is cutting to a line. You measure, mark it, and hit the mark. Precise, repeatable, confident. This is how most of the work gets done.""
""""
""The second is cutting to fit. You get close, test it, shave a little more, test it again. You’re not chasing a number on a tape measure. You’re chasing the result.""
""""
""Knowing which one the situation calls for is the real skill.""
""""
""Early on I defaulted to cutting to a line every time. If the measurement was right, the piece would be right. Except wood moves. Walls aren’t plumb. Floors aren’t level. Sometimes the line is right and the fit is still wrong.""
""""
""The plan is always built on assumptions. Some of those assumptions don’t survive contact with the actual material.""
""""
""IT work is the same way. You can spec a project carefully, document every requirement, build exactly what was asked for. And still find yourself in a room where the thing doesn’t quite fit the environment it was built for.""
""""
""The plan matters. So does knowing when to put the tape measure down and start working toward the fit.","","",MEMBER_NETWORK
2026-05-03 01:43:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7456518697193578496,"When you start a new job, everyone is willing to answer your questions. Where’s this, how does that work, who do I talk to about this? People are generous with the formal version of how things operate.""
""""
""That’s helpful. But it’s not the most useful thing.""
""""
""Start paying attention to the stuff nobody says in response to a question. The comments made under people’s breath after a meeting ends. The slight pause before they answer something that should have been simple. The way two people glance at each other when a certain topic comes up.""
""""
""That’s where the real information lives.""
""""
""Every team has a stated way of doing things and an actual way of doing things. The gap between those two is what you actually need to understand. You can’t close that gap by asking about it directly. Most of the time the people living inside it don’t even see it clearly themselves.""
""""
""You close it by listening to what surfaces without being prompted.""
""""
""The questions you ask in a new job matter. But the answers you weren’t looking for are usually the ones worth writing down.""
""""
""What do you pay attention to when you’re learning a new environment?","","",MEMBER_NETWORK
2026-04-30 00:35:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7455414501987999745,"I was fitting a drawer in the shop a few weeks ago. One corner had a slight gap, so I trimmed the side down to close it.""
""""
""It closed. But now the opposite corner didn’t sit right. So I adjusted that. Then the drawer face was off. Then the reveal was uneven.""
""""
""I spent an hour fixing a problem I had already fixed.""
""""
""The mistake wasn’t the first adjustment. The mistake was thinking the first adjustment only affected one thing.""
""""
""A drawer isn’t a single piece. It’s a set of relationships. Change one dimension and you’ve changed all of them, whether you meant to or not. The experienced woodworker knows to stop, look at the whole thing, and understand what’s actually connected before reaching for the saw.""
""""
""IT systems work the same way. A quick fix to one component shifts load somewhere else. A configuration change resolves the alert and creates a new one three layers down. A process improvement in one team creates a bottleneck in another.""
""""
""The problem usually isn’t that people make changes. It’s that they make changes while only looking at one piece.""
""""
""Before you trim something down, know what it’s connected to.","","",MEMBER_NETWORK
2026-04-27 12:36:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7454508826692796417,"There’s a version of work stress that isn’t about the actual problem. It’s about every possible version of the problem that hasn’t happened yet.""
""""
""What if this change breaks something? What if the rollout doesn’t go as planned? What if I’m missing something and it blows up on a Friday afternoon?""
""""
""I’ve spent a lot of time in that loop over the years. And the hard part is that none of those questions are unreasonable. They come from experience. Something has gone wrong before, and your brain is just trying to protect you.""
""""
""But at some point the questions stop being useful and start being noise.""
""""
""A while back someone gave me a simple reframe and it actually stuck. Change “what if” to “even if.”""
""""
""What if this goes wrong becomes even if this goes wrong, we can recover it. What if they push back becomes even if they push back, here’s how I’ll handle it. What if I’m missing something becomes even if I’m missing something, I’ll find it and fix it.""
""""
""It’s not about pretending problems won’t happen. It’s about reminding yourself that you can handle them when they do.""
""""
""That shift doesn’t eliminate the stress. But it moves you from spinning to planning.","","",MEMBER_NETWORK
2026-04-22 01:29:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7452528936237838336,"There’s a moment in the shop before any work starts that I’ve come to appreciate. A new plank of wood, just sitting there. Straight, uncut, full of possibility.""
""""
""It could become almost anything. A cabinet, a shelf, a tabletop. The grain hasn’t told you what it wants to be yet. Neither have you.""
""""
""The moment you make the first cut, that changes. You’ve committed to something. The other possibilities don’t disappear, but they narrow. Every cut after that narrows them a little more.""
""""
""I started a new job this week and it feels exactly like that.""
""""
""A new place hasn’t formed an opinion of you yet. You haven’t made the cuts that define you there. The relationships, the reputation, the habits people will associate with your name — none of that exists yet. It’s just a clean plank.""
""""
""That’s not a reason to be paralyzed by the possibilities. You still have to pick something up and start working.""
""""
""But it’s worth standing there for a second before you do. Thinking about what you actually want to build.""
""""
""The wood doesn’t stay uncut forever. Neither does the opportunity.","","",MEMBER_NETWORK
2026-04-21 02:14:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7452177954924597248,"I started a new job this week. But before I did, my wife and I took a few days and got out of town.""
""""
""We read books. Ate at places we’d never been. Walked through small shops without any agenda. I didn’t even bring a laptop. Thought about the new job less than I expected to.""
""""
""It wasn’t avoidance. It was a deliberate gap between one chapter and the next.""
""""
""I’ve made the mistake before of rolling straight from one job into the next with no space in between. You show up on day one still carrying the last place. The unfinished frustrations, the habits that were built for a different environment, the version of yourself that was shaped by two years of a specific team and culture.""
""""
""That stuff doesn’t clear out on its own. You have to give it somewhere to go.""
""""
""A few days away did that. I came back with a clearer head than I would have had otherwise. Ready to actually pay attention instead of just showing up.""
""""
""The transition is part of the job. Most of us skip it entirely.""
""""
""What do you do to reset between big professional changes?","","",MEMBER_NETWORK
2026-04-14 20:36:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7449918606303444992,"I cut every piece for a small cabinet last weekend. Drew up the cut list, measured twice, ran everything through the saw. Felt good about it.""
""""
""When I went to dry fit the drawers, nothing lined up. I stood there for a minute just staring at it. Went back to the cut list and found it immediately. I had written down the final dimension for the drawer sides but never made that last cut. The pieces were close, just not right.""
""""
""So I pulled the tools back out and took them down to size. Twenty minutes of work I hadn’t planned on.""
""""
""The thing is, I caught it during a dry fit. No glue, no fasteners, nothing permanent. The mistake was real, but the cost was low.""
""""
""That’s what a dry fit is for. Not to confirm everything went perfectly. To find out what didn’t before it’s too late to fix it.""
""""
""I think about that in IT work too. A staging environment, a change window test, a tabletop walkthrough before a cutover. These aren’t extra steps. They’re the part of the process that makes the rest of it recoverable.""
""""
""A plan that looks complete on paper still has gaps. The dry fit is how you find them.","","",MEMBER_NETWORK
2026-04-10 14:23:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7448375114460528641,"I watched my son’s track meet last week and kept thinking about how brave the kids running hurdles were.""
""""
""Aren’t they afraid of falling? Then one of them caught his toe on a hurdle and went down hard. But instead of sprawling out, he tucked into a forward roll and came up on his feet, barely breaking stride.""
""""
""He wasn’t unafraid of falling. He’d learned how to fall.""
""""
""That stuck with me because it’s the same thing we try to do with systems.""
""""
""All systems fail eventually. The question isn’t if, it’s when and how. A server goes down. A circuit drops. A patch breaks something you didn’t expect it to break.""
""""
""The teams that handle it well aren’t the ones who never fall. They’re the ones who’ve thought through how they’ll fall and what they’ll do when it happens.""
""""
""We spend a lot of time designing systems to stay up. But we don’t always spend enough time designing how they’ll fail. Where the dependencies are. What breaks first. What stays online when something else goes down.""
""""
""What we try to do now is ask one extra question during design. When this fails, what happens next? Not if. When.""
""""
""Because knowing how to fall is just as important as knowing how to run.""
""""
""How does your team design for failure, not just uptime?","","",MEMBER_NETWORK
2026-04-08 02:38:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7447472988997787648,"A chisel stays sharp longer if you hone it between uses.""
""""
""Not a full sharpening. Just a few passes on a strop to realign the edge. Takes 30 seconds. But I skip it all the time because I’m in the middle of a project and stopping feels like it slows me down.""
""""
""So I keep cutting with a chisel that’s getting duller with every pass. The cuts take more effort, the edges get rougher, and eventually I have to stop anyway to do a full resharpening that takes 10 minutes instead of 30 seconds.""
""""
""I lose more time avoiding the small maintenance than I would have spent just doing it.""
""""
""I see this pattern in IT constantly.""
""""
""We skip the weekly check-in because everyone’s busy. We don’t update documentation after a change because we’ll do it later. We put off patching a server because the maintenance window feels inconvenient.""
""""
""Small maintenance feels like it’s getting in the way of real work. But skipping it just means the real work gets harder until something forces you to stop and fix what you’ve been ignoring.""
""""
""The pull to keep moving is strong, especially when you’ve got momentum.""
""""
""The habit I’m trying to build is pausing for the small maintenance before it turns into big maintenance. 30 seconds now or 10 minutes later.""
""""
""What’s one piece of small maintenance your team actually makes time for instead of putting off?","","",MEMBER_NETWORK
2026-04-04 11:00:42,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7446149745334718464,"We had the same outage twice in a year because we didn’t follow through on the lesson the first time.""
""""
""A year ago, a chiller went down at one of our colo data centers. Storage overheated and took down our monitoring server. No alerts went out because the thing that sends alerts was offline.""
""""
""The chiller was fixed. We wrote down what was impacted. We talked about diversifying monitoring to other data centers so a failure in one location wouldn’t blind us everywhere.""
""""
""And then we moved on to the next thing.""
""""
""Last month, the chiller went down again. Same data center. Same cascade. Same result. No alerts because the monitoring server was sitting in the room that overheated.""
""""
""The first time was bad luck. The second time was on us.""
""""
""I know how it happened. After an outage, you fix what broke and you’re exhausted. Writing up lessons learned feels like the finish line. But the writeup isn’t the work. The follow-through is.""
""""
""What we do now is treat post-incident action items like any other project. They get assigned, they get scheduled, and someone owns making sure they actually happen.""
""""
""Because if you don’t change anything after an incident, you didn’t learn anything. You just survived it.""
""""
""How does your team make sure the lessons from an outage actually turn into changes instead of just turning into documentation?","","",MEMBER_NETWORK
2026-04-02 18:38:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7445540136509136897,"A drill press is only accurate if the table is level.""
""""
""I was drilling holes for shelf pins last weekend and didn’t check the table before I started. It looked flat, the bit was sharp, and I had a dozen holes to drill. I lined up the first one, pulled the lever, and kept moving.""
""""
""Five holes in I realized they weren’t straight. They angled slightly to one side. The table had shifted maybe two degrees, just enough that every hole was off.""
""""
""I had to plug them all and start over. The drill did exactly what I set it up to do. The setup was the problem.""
""""
""I see this happen in IT when we build on top of something that isn’t square.""
""""
""We roll out a new policy but the user list it’s based on is six months out of date. We automate a workflow but the process it’s automating was never standardized. We deploy monitoring but the baselines we’re measuring against were never validated.""
""The tool works. The execution is fine. But if the foundation is tilted, everything that follows will be tilted too.""
""""
""I still skip this step sometimes. It feels faster to just start drilling than to stop and check the setup first.""
""""
""The habit I’m building is simple. Before I run the process, I check the table. Two minutes to confirm the foundation is level saves an hour of rework later.""
""""
""What’s one place where your team checks the foundation before running the tool?","","",MEMBER_NETWORK
